runID,eventID,trackID,stepID,particle,bn_wt,zns_wt,thickness_um,capture_x_um,capture_y_um,capture_z_um,capture_depth_um,x_mid_um,y_mid_um,z_mid_um,depth_mid_um,step_len_um,edep_keV,ekin_pre_keV,ekin_post_keV
0,2716,4,1,Li7,50,50,100,2446.96,-5342.5,-31.8487,81.8487,2446.93,-5342.38,-32.5494,82.5494,1.42998,835.855,835.855,0
0,2716,2,1,alpha,50,50,100,2446.96,-5342.5,-31.8487,81.8487,2447.04,-5342.86,-29.7628,79.7628,4.25001,1472.32,1472.32,0
0,2717,4,1,Li7,50,50,100,4321.9,5266.69,-48.0229,98.0229,4321.35,5266.52,-48.4388,98.4388,1.42923,829.741,833.67,3.92952
0,2717,4,2,Li7,50,50,100,4321.9,5266.69,-48.0229,98.0229,4320.8,5266.35,-48.8599,98.8599,0.168114,3.92952,3.92952,0
0,2717,2,1,alpha,50,50,100,4321.9,5266.69,-48.0229,98.0229,4323.54,5267.2,-46.7877,96.7877,4.24938,1472.08,1472.08,0
0,2718,4,1,Li7,50,50,100,739.229,685.381,24.7389,25.2611,739.032,684.923,24.2316,25.7684,1.43055,837.515,837.515,0
0,2718,2,1,alpha,50,50,100,739.229,685.381,24.7389,25.2611,739.82,686.75,26.243,23.757,4.25084,1472.63,1472.63,0
0,2720,4,1,Li7,50,50,100,3868.56,-8618.25,-28.6913,78.6913,3868.36,-8617.94,-29.2952,79.2952,1.43255,817.814,843.338,25.5242
0,2720,4,2,Li7,50,50,100,3868.56,-8618.25,-28.6913,78.6913,3868.12,-8617.57,-29.9737,79.9737,0.428457,25.5242,25.5242,0
0,2720,2,1,alpha,50,50,100,3868.56,-8618.25,-28.6913,78.6913,3869.18,-8619.19,-26.8966,76.8966,4.24924,1472.03,1472.03,0
0,2721,4,1,Li7,50,50,100,-229.961,8098.43,20.7117,29.2883,-230.341,8098.76,20.2108,29.7892,1.42901,833.037,833.037,0
0,2721,2,1,alpha,50,50,100,-229.961,8098.43,20.7117,29.2883,-228.827,8097.44,22.2025,27.7975,4.24995,1472.3,1472.3,0
